#ID_REF = 
#VALUE = Quantification
ID_REF	VALUE
7893795	2.76325
7893796	3.28326
7893797	2.70507
7893798	4.63152
7893799	1.96641
7893800	4.03323
7893801	1.75018
7893802	9.60066
7893803	0.955113
7893804	1.72797
7893805	6.27303
7893806	3.78061
7893807	3.70736
7893808	11.3573
7893809	5.6644
7893810	4.0403
7893811	1.54018
7893812	2.08752
7893813	4.30212
7893814	2.35437
7893815	10.2823
7893816	8.74809
7893817	2.51311
7893818	4.05615
7893819	1.17399
7893820	7.8108
7893821	7.06195
7893822	4.064
7893823	2.30784
7893824	4.88639
7893825	1.19256
7893826	1.07394
7893827	7.33579
7893828	3.49228
7893829	1.21241
7893830	4.4853
7893831	3.89575
7893832	3.03309
7893833	5.08582
7893834	4.98354
7893835	6.35722
7893836	6.61372
7893837	2.16754
7893838	8.70595
7893839	1.24125
7893840	7.57166
7893841	5.63126
7893842	2.8754
7893843	2.1434
7893844	1.7521
7893845	1.62768
7893846	1.56617
7893847	1.86187
7893848	1.96421
7893849	2.12633
7893850	9.01826
7893851	1.36149
7893853	5.33888
7893854	1.52462
7893855	8.94187
7893856	7.89423
7893857	3.70598
7893858	1.45362
7893859	2.14468
7893860	2.56659
7893861	3.18495
7893862	1.48761
7893863	1.47009
7893864	1.89914
7893865	1.45606
7893866	10.9313
7893867	4.38306
7893868	2.54425
7893869	3.50108
7893870	7.44013
7893871	2.65811
7893872	2.00122
7893873	3.51315
7893874	1.85793
7893875	5.7644
7893876	4.16799
7893877	2.73789
7893878	5.10925
7893879	3.19097
7893880	10.3121
7893881	3.72544
7893882	3.30823
7893883	9.73532
7893884	2.98424
7893885	0.921013
7893886	7.22022
7893887	1.24557
7893888	7.01114
7893889	3.8907
7893890	2.5426
7893891	1.27783
7893892	7.73322
7893893	5.73796
7893894	1.17304
7893895	1.46743
7893896	3.55879
7893897	1.24125
7893898	2.47672
7893899	1.25562
7893900	5.45409
7893901	7.10233
7893902	1.70836
7893904	10.6182
7893905	8.92702
7893906	3.98838
7893907	3.08562
7893908	4.07617
7893909	1.64531
7893910	5.50756
7893911	1.69732
7893912	1.61959
7893913	8.06088
7893914	7.09819
7893915	1.69204
7893916	6.18549
7893917	2.02328
7893918	4.69517
7893919	8.08963
7893920	2.10119
7893921	6.92906
7893922	4.86991
7893923	10.9882
7893924	2.93978
7893925	4.8662
7893926	10.0392
7893927	2.03964
7893928	7.9233
7893929	6.67612
7893930	5.32051
7893931	1.64592
7893932	4.77715
7893933	7.08435
7893934	2.18402
7893935	1.24012
7893936	2.32472
7893937	5.76848
7893938	4.84056
7893939	7.9446
7893940	1.37349
7893941	7.21551
7893942	1.42298
7893943	2.41416
7893944	1.58186
7893945	1.72909
7893946	7.33669
7893947	2.10117
7893948	7.98534
7893949	5.51998
7893950	1.67252
7893951	2.06299
7893952	8.13124
7893953	4.60727
7893954	4.31431
7893955	1.40766
7893956	11.1493
7893957	3.08955
7893958	3.32726
7893959	5.09593
7893960	6.87333
7893961	6.17882
7893962	2.42214
7893963	1.62059
7893964	1.53154
7893965	1.50771
7893966	9.79464
7893967	3.48022
7893968	3.99721
7893969	1.73136
7893970	3.82719
7893971	1.74362
7893972	7.66511
7893973	8.73689
7893974	1.19256
7893975	1.31015
7893976	3.33323
7893977	1.33818
7893978	1.40829
7893979	6.92966
7893980	1.30533
7893981	7.90538
7893982	1.02363
7893983	2.32198
7893984	2.22967
7893985	2.28101
7893986	4.31788
7893987	2.18808
7893988	1.2215
7893989	2.50541
7893990	1.84694
7893991	7.47875
7893992	3.41655
7893993	9.19892
7893994	1.59959
7893995	2.46317
7893996	1.32161
7893997	5.13017
7893998	4.63056
7893999	1.42938
7894000	10.2292
7894001	2.37966
7894002	2.20578
7894003	1.34576
7894004	1.18697
7894005	7.16734
7894006	1.13887
7894007	8.60516
7894008	2.75698
7894009	1.55242
7894010	2.98965
7894011	7.39401
7894012	11.412
7894013	1.62582
7894014	1.54463
7894015	5.50059
7894016	1.689
7894017	2.48997
7894018	2.94928
7894019	10.1489
7894020	1.36443
7894021	1.38409
7894022	1.26671
7894023	1.25531
7894024	1.13462
7894025	1.68912
7894026	4.56875
7894027	4.56603
7894028	4.14959
7894029	8.90809
7894030	2.20642
7894031	5.62146
7894032	1.70841
7894033	10.9692
7894034	3.40676
7894035	1.37969
7894036	9.94544
7894037	6.95427
7894038	2.20858
7894039	2.05151
7894040	1.50903
7894041	7.37524
7894042	6.77316
7894043	10.6021
7894044	9.38604
7894045	1.83358
7894046	5.24996
7894047	1.5431
7894048	5.34903
7894049	5.60191
7894050	2.0644
7894051	10.9731
7894052	4.18738
